States,Corona Affected Count,Cured Count,Total Population,Death Count
Andhra Pradesh,86,1,49577103,1
Andaman and Nicobar Islands,10,0,380581,0
Assam,5,0,31205576,0
Bihar,24,0,104099452,1
Chandigarh,16,0,1055450,0
Chhattisgarh,9,2,25545198,0
Delhi,219,8,16787941,4
Goa,5,0,1458545,0
Gujarat,87,8,60439692,7
Haryana,43,21,25351462,0
Himachal Pradesh,3,1,6864602,1
Jammu and Kashmir,62,2,12267032,2
Jharkhand,1,0,32988134,0
Karnataka,110,9,61095297,3
Kerala,265,25,33406061,2
Ladakh,13,3,274000,0
Madhya Pradesh,99,0,72626809,6
Maharashtra,335,42,112374333,13
Manipur,1,0,2570390,0
Mizoram,1,0,1097206,0
Odisha,4,0,41974218,0
Puducherry,3,1,1247953,0
Punjab,46,1,27743338,4
Rajasthan,108,3,68548437,0
Tamil Nadu,234,6,72147030,1
Telengana,107,1,35003674,3
Uttarakhand,7,2,10086292,0
Uttar Pradesh,113,14,199812341,2
West Bengal,53,6,91276115,3
Lakshadweep,0,0,64473,0
Arunachal Pradesh,0,0,1383727,0
Nagaland,0,0,1978502,0
Dadra and Nagar Haveli and Daman and Diu,0,0,585764,0
Sikkim,0,0,610577,0
Meghalaya,0,0,2966889,0
Tripura,0,0,3673917,0
