States,Corona Affected Count,Cured Count,Total Population,Death Count
Andhra Pradesh,23,1,49577103,0
Andaman and Nicobar Islands,9,0,380581,0
Bihar,15,0,104099452,1
Chandigarh,8,0,1055450,0
Chhattisgarh,7,0,25545198,0
Delhi,87,6,16787941,2
Goa,5,0,1458545,0
Gujarat,69,1,60439692,6
Haryana,36,18,25351462,0
Himachal Pradesh,3,0,6864602,1
Jammu and Kashmir,48,2,12267032,2
Karnataka,83,5,61095297,3
Kerala,202,19,33406061,1
Ladakh,13,3,274000,0
Madhya Pradesh,47,0,72626809,3
Maharashtra,198,25,112374333,8
Manipur,1,0,2570390,0
Mizoram,1,0,1097206,0
Odisha,3,0,41974218,0
Puducherry,1,0,1247953,0
Punjab,38,1,27743338,1
Rajasthan,59,3,68548437,0
Tamil Nadu,67,4,72147030,1
Telengana,71,1,35003674,1
Uttarakhand,7,2,10086292,0
Uttar Pradesh,82,11,199812341,0
West Bengal,22,0,91276115,1
Jharkhand,0,0,32988134,0
Lakshadweep,0,0,64473,0
Sikkim,0,0,610577,0
Dadra and Nagar Haveli and Daman and Diu,0,0,585764,0
Arunachal Pradesh,0,0,1383727,0
Nagaland,0,0,1978502,0
Assam,0,0,31205576,0
Tripura,0,0,3673917,0
Meghalaya,0,0,2966889,0
