States,Corona Affected Count,Cured Count,Total Population,Death Count
Andhra Pradesh,19,1,49577103,0
Andaman and Nicobar Islands,9,0,380581,0
Bihar,11,0,104099452,1
Chandigarh,8,0,1055450,0
Chhattisgarh,7,0,25545198,0
Delhi,49,6,16787941,2
Goa,5,0,1458545,0
Gujarat,58,1,60439692,5
Haryana,33,17,25351462,0
Himachal Pradesh,3,0,6864602,1
Jammu and Kashmir,31,1,12267032,2
Karnataka,76,5,61095297,3
Kerala,182,15,33406061,1
Ladakh,13,3,274000,0
Madhya Pradesh,30,0,72626809,2
Maharashtra,186,25,112374333,6
Manipur,1,0,2570390,0
Mizoram,1,0,1097206,0
Odisha,3,0,41974218,0
Puducherry,1,0,1247953,0
Punjab,38,1,27743338,1
Rajasthan,55,3,68548437,0
Tamil Nadu,49,4,72147030,1
Telengana,66,1,35003674,1
Uttarakhand,7,2,10086292,0
Uttar Pradesh,65,11,199812341,0
West Bengal,18,0,91276115,1
Arunachal Pradesh,0,0,1383727,0
Meghalaya,0,0,2966889,0
Nagaland,0,0,1978502,0
Dadra and Nagar Haveli and Daman and Diu,0,0,585764,0
Lakshadweep,0,0,64473,0
Sikkim,0,0,610577,0
Tripura,0,0,3673917,0
Jharkhand,0,0,32988134,0
Assam,0,0,31205576,0
